ID,population_2017
"iowa,marion",33105
"iowa,marshall",40148
"iowa,mills",15053
"iowa,mitchell",10570
"iowa,monona",8746
"iowa,monroe",7815
"iowa,montgomery",10111
"iowa,muscatine",42892
"iowa,obrien",13812
"iowa,osceola",6039
"iowa,page",15263
"iowa,palo alto",9059
"iowa,plymouth",25091
"iowa,pocahontas",6840
"iowa,polk",481086
"iowa,pottawattamie",93510
"iowa,poweshiek",18563
"iowa,ringgold",5029
"iowa,sac",9796
"iowa,scott",172692
"iowa,shelby",11577
"iowa,sioux",34841
"iowa,story",97260
"iowa,tama",17055
"iowa,taylor",6148
"iowa,union",12481
"iowa,van buren",7164
"iowa,wapello",35107
"iowa,warren",50102
"iowa,washington",22257
"iowa,wayne",6486
"iowa,webster",36643
"iowa,winnebago",10588
"iowa,winneshiek",20131
"iowa,woodbury",102052
"iowa,worth",7461
"iowa,wright",12749
"kansas,allen",12518
"kansas,anderson",7860
"kansas,atchison",16301
"kansas,barber",4583
"kansas,barton",26432
"kansas,bourbon",14676
"kansas,brown",9612
"kansas,butler",66836
"kansas,chase",2658
"kansas,chautauqua",3328
"kansas,cherokee",20114
"kansas,cheyenne",2690
"kansas,clark",1999
"kansas,clay",8016
"kansas,cloud",8944
"kansas,coffey",8228
"kansas,comanche",1767
"kansas,cowley",35356
"kansas,crawford",39031
"kansas,decatur",2878
"kansas,dickinson",18842
"kansas,doniphan",7665
"kansas,douglas",120629
"kansas,edwards",2893
"kansas,elk",2522
"kansas,ellis",28769
"kansas,ellsworth",6307
"kansas,finney",36853
"kansas,ford",34288
"kansas,franklin",25657
"kansas,geary",33633
"kansas,gove",2630
"kansas,graham",2505
"kansas,grant",7518
"kansas,gray",5996
"kansas,greeley",1233
"kansas,greenwood",6094
"kansas,hamilton",2620
"kansas,harper",5583
"kansas,harvey",34413
"kansas,haskell",4031
"kansas,hodgeman",1849
"kansas,jackson",13321
"kansas,jefferson",18990
"kansas,jewell",2855
"kansas,johnson",591284
"kansas,kearny",3940
"kansas,kingman",7313
"kansas,kiowa",2501
"kansas,labette",20152
"kansas,lane",1546
"kansas,leavenworth",81032
"kansas,lincoln",3051
"kansas,linn",9696
"kansas,logan",2834
"kansas,lyon",33344
"kansas,marion",28673
"kansas,marshall",11972
"kansas,mcpherson",9698
"kansas,meade",4260
"kansas,miami",33413
"kansas,mitchell",6191
"kansas,montgomery",32388
"kansas,morris",5466
"kansas,morton",2744
"kansas,nemaha",10098
"kansas,neosho",16028
"kansas,ness",2878
"kansas,norton",5436
"kansas,osage",15830
"kansas,osborne",3556
